表訂時間,往來地點中文,航空公司,航班狀態,實際時間
2025/4/29 15:00,河內,星宇航空,已到Arrived,2025/4/29 16:15
2025/4/29 15:05,大阪/關西,長榮航空,已到Arrived,2025/4/29 15:41
2025/4/29 15:05,上海/浦東,長榮航空,已到Arrived,2025/4/29 15:08
2025/4/29 15:10,大阪/關西,中華航空,已到Arrived,2025/4/29 15:06
2025/4/29 15:10,宿霧,長榮航空,已到Arrived,2025/4/29 14:55
2025/4/29 15:15,河內,中華航空,已到Arrived,2025/4/29 16:02
2025/4/29 15:20,胡志明市,中華航空,已到Arrived,2025/4/29 16:06
2025/4/29 15:20,馬尼拉,菲律賓航空,已到Arrived,2025/4/29 15:51
2025/4/29 15:20,香港,長榮航空,已到Arrived,2025/4/29 15:13
2025/4/29 15:20,札幌,臺灣虎航,已到Arrived,2025/4/29 15:23
2025/4/29 15:20,大阪/關西,星宇航空,已到Arrived,2025/4/29 15:33
2025/4/29 15:30,香港,國泰航空,已到Arrived,2025/4/29 15:15
2025/4/29 15:30,東京,酷航,已到Arrived,2025/4/29 15:17
2025/4/29 15:35,釜山,釜山航空,已到Arrived,2025/4/29 15:35
2025/4/29 15:40,曼谷,中華航空,已到Arrived,2025/4/29 15:23
2025/4/29 15:45,青島,山東航空,已到Arrived,2025/4/29 15:38
2025/4/29 15:45,福岡,星宇航空,已到Arrived,2025/4/29 16:25
2025/4/29 15:50,仁川,韓亞航空,已到Arrived,2025/4/29 16:36
2025/4/29 15:55,大阪/關西,中華航空,已到Arrived,2025/4/29 16:08
2025/4/29 15:55,香港,中華航空,已到Arrived,2025/4/29 15:31
2025/4/29 15:55,河內,長榮航空,已到Arrived,2025/4/29 16:18
2025/4/29 15:55,名古屋,臺灣虎航,已到Arrived,2025/4/29 16:07
2025/4/29 16:00,清邁,中華航空,已到Arrived,2025/4/29 15:53
2025/4/29 16:00,胡志明市,星宇航空,已到Arrived,2025/4/29 16:39
2025/4/29 16:05,東京,長榮航空,已到Arrived,2025/4/29 15:59
2025/4/29 16:10,仰光,中華航空,已到Arrived,2025/4/29 16:26
2025/4/29 16:10,杜拜(DXB),阿聯酋航空,已到Arrived,2025/4/29 15:57
2025/4/29 16:15,峴港,越捷航空,已到Arrived,2025/4/29 16:06
2025/4/29 16:20,札幌,長榮航空,已到Arrived,2025/4/29 16:19
2025/4/29 16:20,名古屋,泰國獅子航空,已到Arrived,2025/4/29 16:15
2025/4/29 16:25,琉球(沖繩),星宇航空,已到Arrived,2025/4/29 16:41
2025/4/29 16:30,深圳,深圳航空,已到Arrived,2025/4/29 18:11
2025/4/29 16:35,清邁,長榮航空,已到Arrived,2025/4/29 15:46
2025/4/29 16:35,上海/浦東,中國南方航空,已到Arrived,2025/4/29 16:33
2025/4/29 16:35,新加坡,酷航,已到Arrived,2025/4/29 16:30
2025/4/29 16:40,新加坡,新加坡航空,已到Arrived,2025/4/29 16:19
2025/4/29 16:45,峴港,長榮航空,已到Arrived,2025/4/29 16:50
2025/4/29 16:45,香港,香港快運航空,已到Arrived,2025/4/29 16:26
2025/4/29 16:50,成都/天府,中華航空,已到Arrived,2025/4/29 16:50
2025/4/29 16:50,南京,中國東方航空,已到Arrived,2025/4/29 16:59
2025/4/29 16:50,東京,星宇航空,已到Arrived,2025/4/29 17:14
2025/4/29 16:55,洛杉磯,長榮航空,已到Arrived,2025/4/29 17:11
2025/4/29 16:55,成都/天府,中國國際航空,已到Arrived,2025/4/29 16:46
2025/4/29 17:05,東京,長榮航空,已到Arrived,2025/4/29 16:54
2025/4/29 17:05,金邊,長榮航空,已到Arrived,2025/4/29 16:51
2025/4/29 17:05,北京,長榮航空,已到Arrived,2025/4/29 17:37
2025/4/29 17:05,奧克蘭,紐西蘭航空,已到Arrived,2025/4/29 17:33
2025/4/29 17:05,大阪/關西,星宇航空,已到Arrived,2025/4/29 16:58
2025/4/29 17:10,北京,中國國際航空,已到Arrived,2025/4/29 17:28
2025/4/29 17:15,曼谷,長榮航空,已到Arrived,2025/4/29 17:43
2025/4/29 17:15,胡志明市,長榮航空,已到Arrived,2025/4/29 17:46
2025/4/29 17:15,香港,長榮航空,已到Arrived,2025/4/29 17:23
2025/4/29 17:15,旭川,臺灣虎航,已到Arrived,2025/4/29 17:15
2025/4/29 17:20,東京,中華航空,已到Arrived,2025/4/29 17:23
2025/4/29 17:20,曼谷,泰國國際航空,已到Arrived,2025/4/29 17:37
2025/4/29 17:20,琉球(沖繩),樂桃航空,已到Arrived,2025/4/29 17:57
2025/4/29 17:20,大阪/關西,捷星日本航空,已到Arrived,2025/4/29 17:44
2025/4/29 17:30,舊金山,長榮航空,已到Arrived,2025/4/29 17:05
2025/4/29 17:30,琉球(沖繩),泰國亞洲航空,已到Arrived,2025/4/29 17:20
2025/4/29 17:40,倫敦,中華航空,已到Arrived,2025/4/29 17:31
2025/4/29 17:40,香港,國泰航空,已到Arrived,2025/4/29 17:18
2025/4/29 17:40,岡山,臺灣虎航,已到Arrived,2025/4/29 17:56
2025/4/29 17:45,新加坡,長榮航空,已到Arrived,2025/4/29 17:39
2025/4/29 17:50,仁川,大韓航空,已到Arrived,2025/4/29 18:17
2025/4/29 17:50,大阪/關西,樂桃航空,已到Arrived,2025/4/29 18:15
2025/4/29 17:55,伊斯坦堡,土耳其航空,已到Arrived,2025/4/29 17:51
